% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 07:55
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Titanium beta-21S
0.020303030303030302      -0.005878787878787879    -14149.599890411158+8778.047538896442i
0.020606060606060607      -0.005878787878787879    -13489.461123952153+8639.723487127489i
0.02090909090909091       -0.005878787878787879    -12863.909239154647+8491.418963736234i
0.021212121212121213      -0.005878787878787879    -12274.646149389562+8331.380093384782i
0.021515151515151515      -0.005878787878787879    -11717.245798451155+8167.374170062747i
0.02181818181818182       -0.005878787878787879    -11191.378698589488+7996.557877792026i
0.02212121212121212       -0.005878787878787879    -10698.224673361288+7816.906333761025i
0.022424242424242423      -0.005878787878787879    -10234.624524266674+7634.999009609939i
0.022727272727272728      -0.005878787878787879    -9799.333442775736+7448.440700251194i
0.02303030303030303       -0.005878787878787879    -9392.951871327434+7255.897296381904i
0.023333333333333334      -0.005878787878787879    -9014.174723671573+7060.694150202868i
0.023636363636363636      -0.005878787878787879    -8660.314522998764+6862.736603112156i
0.02393939393939394       -0.005878787878787879    -8331.621182256125+6661.137766732003i
0.024242424242424242      -0.005878787878787879    -8028.51724372407+6455.279081776924i
0.024545454545454544      -0.005878787878787879    -7747.114788069637+6248.024936325201i
0.02484848484848485       -0.005878787878787879    -7487.617909422628+6037.706327448587i
0.02515151515151515       -0.005878787878787879    -7250.842749670017+5822.9230031406i
0.025454545454545455      -0.005878787878787879    -7033.189572154189+5606.411006607081i
0.025757575757575757      -0.005878787878787879    -6834.332285803101+5386.453775390512i
0.026060606060606062      -0.005878787878787879    -6654.968260850362+5161.892967742634i
0.026363636363636363      -0.005878787878787879    -6492.580279819522+4934.195179849926i
0.026666666666666665      -0.005878787878787879    -6345.817058513207+4702.197110941605i
0.02696969696969697       -0.005878787878787879    -6215.019692473533+4465.3800528410975i
0.02727272727272727       -0.005878787878787879    -6099.579260658335+4222.610456353085i
0.027575757575757576      -0.005878787878787879    -5996.340996103783+3974.6195443005904i
0.027878787878787878      -0.005878787878787879    -5905.648712068415+3720.67412429004i
0.028181818181818183      -0.005878787878787879    -5828.0685016780535+3458.6216391228195i
0.028484848484848484      -0.005878787878787879    -5759.52781226021+3189.3499678772077i
0.02878787878787879       -0.005878787878787879    -5700.216071942193+2912.311937511414i
0.02909090909090909       -0.005878787878787879    -5650.853841781513+2625.363468674671i
0.029393939393939392      -0.005878787878787879    -5607.794840910074+2327.8628315802675i
0.029696969696969697      -0.005878787878787879    -5570.406046946678+2020.9401756275074i
0.03                      -0.005878787878787879    -2.5520713785536174E-9-8.322102000899845E-9i
0                         -0.005818181818181819    8.764148755402145+15.771031525694916i
3.0303030303030303E-4     -0.005818181818181819    -4262.645177367008-1591.5284775238702i
6.060606060606061E-4      -0.005818181818181819    -8497.281321079561-3181.01809483782i
9.090909090909091E-4      -0.005818181818181819    -12691.611931616824-4746.787773420147i
0.0012121212121212121     -0.005818181818181819    -16811.915032773402-6224.3162185770025i
0.0015151515151515152     -0.005818181818181819    -20839.973802813787-7675.419838563739i
0.0018181818181818182     -0.005818181818181819    -24761.57697398133-9055.567012564889i
0.002121212121212121      -0.005818181818181819    -28547.121441921565-10301.41140562735i
0.0024242424242424242     -0.005818181818181819    -32177.51320734005-11474.694757003721i
0.0027272727272727275     -0.005818181818181819    -35644.95093481519-12541.632482988898i
0.0030303030303030303     -0.005818181818181819    -38937.32293989914-13475.414178435605i
0.003333333333333333      -0.005818181818181819    -42014.26144439731-14264.810042227678i
0.0036363636363636364     -0.005818181818181819    -44889.76527542713-14937.108725826702i
0.00393939393939394       -0.005818181818181819    -47559.978083985676-15476.418475430104i
0.004242424242424242      -0.005818181818181819    -49982.5460732875-15841.448520658241i
0.004545454545454545      -0.005818181818181819    -52177.80097390844-16081.96547984594i
0.0048484848484848485     -0.005818181818181819    -54150.109771969175-16192.373531645075i
0.005151515151515152      -0.005818181818181819    -55873.60471933552-16144.028176579519i
0.005454545454545455      -0.005818181818181819    -57354.06210752668-15964.243931359215i
0.005757575757575757      -0.005818181818181819    -58611.71804897293-15668.419324115754i
0.006060606060606061      -0.005818181818181819    -59638.83991202694-15251.266168580076i
0.006363636363636364      -0.005818181818181819    -60422.861246142624-14707.596049800919i
0.006666666666666666      -0.005818181818181819    -61000.27893526992-14073.295017646762i
0.0069696969696969695     -0.005818181818181819    -61372.090439778636-13352.367787126734i
0.007272727272727273      -0.005818181818181819    -61526.57226060385-12540.480905879434i
0.007575757575757576      -0.005818181818181819    -61497.18160387967-11661.296214435197i
0.00787878787878788       -0.005818181818181819    -61292.184044276764-10726.0267680529i
0.008181818181818182      -0.005818181818181819    -60911.91875281294-9750.687636713741i
0.008484848484848484      -0.005818181818181819    -60374.60333390459-8729.324459095475i
0.008787878787878787      -0.005818181818181819    -59698.50285174893-7685.359658384117i
0.00909090909090909       -0.005818181818181819    -58888.655467328404-6636.510908505395i
0.009393939393939394      -0.005818181818181819    -57954.99852358079-5572.004477124236i
0.009696969696969697      -0.005818181818181819    -56920.531335617794-4511.775283934258i
0.01                      -0.005818181818181819    -55789.25672443645-3467.527804996098i
0.010303030303030303      -0.005818181818181819    -54573.21631792029-2445.6187219864155i
0.010606060606060607      -0.005818181818181819    -53289.56092763834-1442.7849219908999i
0.01090909090909091       -0.005818181818181819    -51942.54487352619-469.5323849194136i
0.011212121212121211      -0.005818181818181819    -50546.641496387005+452.8181975057562i
0.011515151515151515      -0.005818181818181819    -49112.12688972227+1346.5806932981718i
0.011818181818181818      -0.005818181818181819    -47644.95559613468+2199.4505369410213i
0.012121212121212121      -0.005818181818181819    -46155.39546915529+2991.6734462756713i
0.012424242424242424      -0.005818181818181819    -44653.30045046172+3745.960617205839i
0.012727272727272728      -0.005818181818181819    -43143.79254208606+4453.253290571872i
0.013030303030303031      -0.005818181818181819    -41631.347198905+5104.112886153066i
0.013333333333333332      -0.005818181818181819    -40129.00916830786+5702.455820633588i
0.013636363636363636      -0.005818181818181819    -38637.54931380665+6257.480115637476i
0.013939393939393939      -0.005818181818181819    -37158.652998483085+6762.251131202302i
0.014242424242424242      -0.005818181818181819    -35705.256117453144+7208.5891847140165i
0.014545454545454545      -0.005818181818181819    -34276.44148835242+7616.720798851641i
0.014848484848484849      -0.005818181818181819    -32872.46070759267+7980.695204327608i
